epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
MAJOR,A0884,VERSO ESCANABA LLC,7100 COUNTY 426 M.5 ROAD,ESCANABA,49829,DELTA,MARQUETTE,CONKLINM1,"7100 COUNTY 426 M.5 ROAD, ESCANABA, MI 49829"
MINOR,A5754,AMERICAN IRON & METAL,prev SMURFIT-STONE CONTAINER ENTERPRISES,ONTONAGON,49953,ONTONAGON,MARQUETTE,ASHERJ,"prev SMURFIT-STONE CONTAINER ENTERPRISES, ONTONAGON, MI 49953"
MAJOR,A6475,UP PAPER LLC.,402 West Elk Street,MANISTIQUE,49854,SCHOOLCRAFT,MARQUETTE,LUCEL1,"402 West Elk Street, MANISTIQUE, MI 49854"
MINOR,B0965,MCC - NORWAY INC,512  NINTH AVE,NORWAY,49870,DICKINSON,MARQUETTE,ASHERJ,"512  NINTH AVE, NORWAY, MI 49870"
MAJOR,B1470,NEENAH PAPER - MICHIGAN INC,501 E MUNISING AVE,MUNISING,49862,ALGER,MARQUETTE,LUCEL1,"501 E MUNISING AVE, MUNISING, MI 49862"
MINOR,B1573,ESCANABA POWER PLANT,2000  POWER PLANT  RD,ESCANABA,49829,DELTA,MARQUETTE,LANCASTERE1,"2000  POWER PLANT  RD, ESCANABA, MI 49829"
MAJOR,B1577,GREDE LLC - IRON MOUNTAIN,801 S CARPENTER AVE,KINGSFORD,49802,DICKINSON,MARQUETTE,CONKLINM1,"801 S CARPENTER AVE, KINGSFORD, MI 49802"
MAJOR,B1827,EMPIRE IRON MINING PARTNERSHIP,EMPIRE MINE RD,ISHPEMING,49849,MARQUETTE,MARQUETTE,CONKLINM1,"EMPIRE MINE RD, ISHPEMING, MI 49849"
MAJOR,B1833,MARQUETTE BOARD OF LIGHT & POWER,400 E HAMPTON,MARQUETTE,49855,MARQUETTE,MARQUETTE,BRUESTLES,"400 E HAMPTON, MARQUETTE, MI 49855"
MINOR,B1855,"DUNN PAPER, INC.",144 FIRST STREET,MENOMINEE,49858,MENOMINEE,MARQUETTE,SCANLANJ,"144 FIRST STREET, MENOMINEE, MI 49858"
,B1856,"GIDDINGS & LEWIS FOUNDRY, L.L.C.",1610 15th St.,MENOMINEE,49858,MENOMINEE,MARQUETTE,,"1610 15th St., MENOMINEE, MI 49858"
MAJOR,B1966,WHITE PINE ELECTRIC POWER LLC,29639 WILLOW ROAD,WHITE PINE,49971,ONTONAGON,MARQUETTE,LUCEL1,"29639 WILLOW ROAD, WHITE PINE, MI 49971"
,B4204,U P FURNITURE INC,N14225  ROBINSON ROAD 553,WILSON,49896,MENOMINEE,MARQUETTE,,"N14225  ROBINSON ROAD 553, WILSON, MI 49896"
MAJOR,B4260,L'ANSE WARDEN ELECTRIC COMPANY LLC,157 S MAIN STREET,LANSE,49946,BARAGA,MARQUETTE,SCANLANJ,"157 S MAIN STREET, LANSE, MI 49946"
MAJOR,B4261,WISCONSIN ELECTRIC POWER COMPANY,2701 N LAKESHORE BOULEVARD,MARQUETTE,49855,MARQUETTE,MARQUETTE,SCANLANJ,"2701 N LAKESHORE BOULEVARD, MARQUETTE, MI 49855"
MAJOR,B4885,TILDEN MINING COMPANY  LC,1 TILDEN MINE ROAD,ISHPEMING,49849,MARQUETTE,MARQUETTE,CONKLINM1,"1 TILDEN MINE ROAD, ISHPEMING, MI 49849"
MAJOR,B6553,UPPER PENINSULA POWER COMPANY - PORTAGE,16626 Academy / Cemetery Road,SOUTH RANGE,49963,HOUGHTON,MARQUETTE,SCANLANJ,"16626 Academy / Cemetery Road, SOUTH RANGE, MI 49963"
MAJOR,B7192,"VERSO QUINNESEC, LLC",W-6791 US HIGHWAY 2,QUINNESEC,49876,DICKINSON,MARQUETTE,CONKLINM1,"W-6791 US HIGHWAY 2, QUINNESEC, MI 49876"
MAJOR,N0544,WARM RAIN CORPORATION,51675 N INDUSTRIAL DRIVE,CALUMET,49930,HOUGHTON,MARQUETTE,SCANLANJ,"51675 N INDUSTRIAL DRIVE, CALUMET, MI 49930"
