srn,nsite_id,facility_name
,8531192929663438594,Gallagher Asphalt Corporation
,-8359885266901836997,Custometal Products
,-7355457660417096517,HOOVER-UGINE COMPANY
,-4733714844238160062,BRIDGMAN PUBLIC SCHOOL
B5855,-4186824046533917731,American Electric Power (AEP) (B5855)
N3070,-2006753501965623025,"ICG BERRIEN, INC. (N3070)"
N5283,702029342427648967,AMOCO OIL COMPANY RED ARROW HWY BRIDGMAN (N5283)
N6556,872331563295187223,Robert Bosch Co. (N6556)
,3902002165203258215,JORDAN REST HOME
N2315,4411302100248711123,EAGLE TECHNOLOGIES GROUP (N2315)
,4654924335104577213,HOOVER UGINE COMPANY
,-7071477666438251120,"Kenneth Smith, Inc."
N5633,-3319431941354112786,OZINGA BROTHERS (N5633)
,233256067159890407,Rolling Prairie Excavating
N6493,3594903622808691536,Northwood Energy Corp. (N6493)
N7078,-5074149306871031207,South Shore Power LLC       (Sempra Michigan) (N7078)
,-2450805480003935192,Lake Charter Township
,521068776505975388,D'Agostino Custom Excavation & Trucking
N3074,2451893544490617260,D.A. D'Agostino Excavating & Trucking (N3074)
A0367,-5321801824718775145,TECHNISAND COMPANY - BRIDGMAN (A0367)
B4252,7580636430541644863,AEP Cook Nuclear Plant (B4252)
N3218,5623827147430846577,JR Automation (N3218)
B6352,6991435098247945131,SUPREME CASTING (B6352)
,3855554737503629187,Amanda
N5575,7244740779972138561,ANR Pipeline Company - Bridgman Compressor Station (N5575)
N2990,7975983182713401508,Cast Coatings (N2990)
N2407,-586349729285805039,Forest Lawn Landfill (N2407)
,331009733663968178,"FOREST LAWN LANDFILL, INC"
,3424599951844943239,Jack Richter
,6617562493601712965,Kemps Home and Lawn Care
N7043,8594653865030036952,Key Casting Co (N7043)
N7069,5629702397547075334,Lone Hickory Hogs LLC (N7069)
,8680029420162572827,Oldenburg & Sons Excavating Incorporated
N7486,6825089104474397656,Pratt Industries Inc. (N7486)
N7452,-4139815340819990774,QUALI TONE CORP (N7452)
,8093747704770417667,Residential Home
,5844366438900061047,Three Oaks Township
N6941,-1658827475065579190,Tru Die Cast Corp (N6941)
,8047589399624841853,Village of Three Oaks
,-7593345435084024828,Kachur Tree Service
B9073,-6420555986504446781,MPLX Terminals LLC - Niles Terminal (B9073)
B9132,-5504709723790197296,"Buckeye Terminals, LLC - Niles Terminal (B9132)"
B6618,-1429087062923863773,AAA ASSOCIATES INC (B6618)
P0491,-74720928222435517,"Pratt Intermodal Chassis, LLC (P0491)"
B9085,339511101466660537,Buckeye Terminals - Niles West Terminal (B9085)
N8138,835555444478196648,"LOWE'S HOME CENTERS, INC (N8138)"
N7557,879225074691852246,WOLVERINE PIPELINE COMPANY (N7557)
B9043,1570620734976382606,Citgo Petroleum Corporation (B9043)
,1848607027785489990,Brusky Construction
N5660,4766489466770544718,CNC PRODUCTS (N5660)
N6931,4999775544911997328,Tanks R Us (N6931)
P0192,5871459265281311871,RIVER VALLEY EQUINE CLINIC (P0192)
,-8426850919696242012,"LOUANNE'S RED TWINS,INC"
C5705,-7997163842627075265,Lakeland Medical Center (C5705)
,-7004160512760068251,UNITED FIXTURES / INTERLAKE
B6036,-6706068744512067175,NILES WWTP (B6036)
,-3700869745975633053,STEPHAN NURSING HOME
B1504,-843216020947268549,SIMPLICITY PATTERNS INC (B1504)
N0813,-280540138339234367,TYLER REFRIGERATION CORP (N0813)
N2610,566395406381160508,Toefco Engineered Coating Systems (N2610)
N2581,5147473452635799849,Schrader Steel Fabricating (N2581)
,6010136341402139177,The Gallery
N0903,6537632924734626099,"PACKARD INDUSTRIES, INC. (N0903)"
,7122619438072051098,TITUS CONSTRUCTION COMPANY
,-7537101344990832624,Wilbert Minisee
N2575,-7196608930860313066,Massee Products Limited (N2575)
N6217,-6336538462484907260,CONSUMERS CONCRETE FORMERLY OZINGA MI RMC INC (N6217)
P0708,-5447370821102204361,"Toefco Engineered Coating Systems, Inc. (P0708)"
A0497,-2174985781257677020,Niles Steel Tank Company (A0497)
N7133,1000515453355375023,Triple FFF (N7133)
,1325261708878498840,MDNR ERD KALAMZOO DISTRICT
,3573194164247931343,Modineer Plant 3
B5417,6166215781226858333,"DW-National Standard-Niles, LLC (B5417)"
N6921,8016033419382013005,Indeck Niles LLC (N6921)
N1802,8968217726199372319,"VERTIS, INC. (N1802)"
A0450,-8935155341849479235,Telex/EVI (A0450)
M4242,-7212289604896511683,BUCHANAN INDUSTRIES INC (M4242)
N0996,-4575838623168473095,Jack Post Corporation (N0996)
B7884,-570264299029252613,Co-Alliance LLP (B7884)
N6308,528607273838628193,FALO AUTO PARTS INC (N6308)
N8263,5486488424097380207,DAVE'S SHELL - 9972 FORMERLY (MDEQ-RRD REMEDIATION (N8263)
N6421,5503081969078470003,LIBERTY POWER COATING (N6421)
N5432,6582189539101017391,Southeast Berrien County Landfill Authority (N5432)
,6832289423288309365,POORMAN'S SUPER DOLLAR
,7925847819903143660,"MIDWEST TANK & FAB COMPANY, INC"
A0697,-7486740430462226667,"Return Polymers, Inc. (formerly Fryman's Recycling) (A0697)"
,-4873542106334605847,ALLIED MANUFACTURING CORP - LUDLOW
,-4702333128837187548,Jerz Machine Tool Corporation
,-3099086567082533109,"LOUANN FOODLAND, INC"
B7230,-2295948528847719919,MENNEL MILLING CO (B7230)
A0749,-1347709610226014898,AMERIWOOD INDUSTRIES (A0749)
N5953,-846383413447370614,THE CITY OF DOWAGIAC PUBLIC WORKS (N5953)
K2278,4349300708083279946,LEE MEMORIAL HOSPITAL (K2278)
P0044,8014682164779211042,MDNRE RRD Kalamazoo Dist (P0044)
,-5084996361393995130,Cass Heating & Air Conditioning
,-3445454204205280870,"DEROSE INDUSTRIES, INC"
,-2779403097768289645,Fair View Apartments
,-2521877475570262492,CASS COUNTY BOARD OF COMMISSIONERS
,-1362564298590700686,"Mobile Facility Engineering, Inc."
,739065252026618334,K & M MACHINE FABRICATING
,3284726739960908314,"CASS CO-OPS, INC"
A0703,3563351324411384779,Axium Group LLC (A0703)
,-8638360417831710565,Carter Lumber (Now Demolished)
N5885,-6250627515653606247,UNITED FIXTURES COMPANY (N5885)
B6122,-1984083404556940251,UTA ENGINEERED SYSTEMS DIV (B6122)
,-1947178630115335039,PEELS SUPER MARKET
B4238,-1370210642009365571,FRENCH PAPER LLC (B4238)
N6419,444773640532651551,NILES PRECISION CO (N6419)
N2352,6483048866768094672,"NCP Coatings, LLC (N2352)"
,8145054763930891625,Modineer Building
N5959,-9010863875757579068,Michigan Department of Transportation (N5959)
N5599,-8177490566286466729,Lyons Industries (N5599)
,-6491596503162084169,Deer Path Recyclers
,-5201560065848456143,CASS COUNTY ANIMAL WELFARE
A0747,-3319206897921652636,Premier Tool and Die Cast (A0747)
,-842413282217380972,Premier Tool & Die Cast Corp.
N6978,2215330827899485699,International Paper Partner (N6978)
,8236788671998705548,WONDERLAND DISCOUNT
,-6017363156506484603,"Moore Bros. Enterprises, Inc."
,-4110883512926634610,"Tompkin's Collision, LLC"
,-3425964468971562068,Specialty Resin and Chemical
P1577,2470605194479740847,Padnos Recycling- Dowagiac (P1577)
,5842402694411068439,Mantke's Mini Mart
,6724986194747700990,Sustainable Recycling Inc.
,-5635393143997694071,"ALLIANCE CLOUD SERVICES, LLC"
N2913,1560470792096185641,"LYONS INDUSTRIES, INC (N2913)"
B1557,2834322462871772632,"Alliance Cloud Services, LLC (B1557)"
B7107,8031934930041638937,CREATIVE FOAM (B7107)
A0746,9214038567047551807,Autocam/Pax (A0746)
N6545,-5447817926125082911,"Northern Contours, Inc (N6545)"
,-3463854538097893507,Berrien Springs - Village Of
C5728,2015637191587732275,Andrews University (C5728)
N1766,3556676269925449174,Faulkner Fabricators (N1766)
N3068,8202712105525744038,"MV Metal Products and Solutions, LLC (N3068)"
P1469,-7623603029898827649,Kinder Morgan (P1469)
N6364,-5612284360600730136,"PilkingtonNorth America, Inc. (N6364)"
P1341,-3278075758369491678,MODINEER COMPANY LLC (P1341)
,3031385182325750740,"MODINEER COMPANY, LLC"
N2298,-5819194184053700611,KLETT CONSTRUCTION DIVISION (N2298)
N1643,6666040170851384755,Cass County Road Commission (N1643)
,7045415183428697639,Kalin Construction Co. Inc. P1642)
,-4550263474488700326,"Peterson AG Enterprises, LLC"
N8285,3068918675685002639,ADMIRAL PETROLEUM CO (N8285)
N6832,3363047791181445174,Walters dimmick Petroleum Inc (N6832)
,-4852686929704822162,UNKNOWN
,4995492498530960487,Lakes Country Club
,9204607737804684335,Four Lakes Country Club
N6827,2119272319329397872,Mission Hills Memorial Gardens Inc (N6827)
N6661,3221223802513020668,"Moose Lake Aggregates, LLC (N6661)"
,9168067212310976564,Unknown
N7593,-2713369383248432180,MARATHON PETROLEUM CO LLC (N7593)
,720087018839976516,D'Agostino Excavating
N7480,5644555891692958184,"FINISHLINE PROFILE COATERS, INC. (N7480)"
,-702860766902552322,Al Shembarger Construction
,7727218165159249553,BERRIEN GENERAL HOSPITAL
,-7127765359014166255,Twin Oaks Farm
,6978943188449585819,Lake Twp. Public Safety Building Construction
P0012,-7050902447099871854,A B Custom Fabricating LLC (P0012)
,-8193572799254225197,AB Custom Fabricating
N6043,-8249144787768739284,AGGREGATE INDUSTRIES (N6043)
,-323453034284186894,Air Craft Industries
,-3198999951262989750,Backus Bobcat and Excavation
,-652440824069971955,"Brothers Baking Co., Inc."
,-1221767782427028654,EDWARDSBURG MH ESTATES
N1454,-6956395047382186626,HERMEL DIE CASTING CORP (N1454)
,-63248112117075026,"Hess Industries, Inc."
,-7185611291977832226,JK Enterprises
N5089,-1764138352336505485,"Ker-Wood, Inc. (N5089)"
,-8266223516197399440,Mark Weaver Landscaping
,1824934403473788255,MDEQ ERD KALAMZOO DISTRICT
,-3650671301185415146,MDNR ERD KALAMZOO DISTRICT
N5886,2184901214522392518,MERCURY DISPLACEMENT INDUSTRIES (N5886)
,-6172637288516630015,Michael Salisbury Residence
N0935,-7658235805967806914,MIDWEST TIMBER INC (N0935)
N5051,-3978036217477376926,NORTH AMERICAN  FOREST PRODUCTS (N5051)
N7840,-8647951750060819441,NORTH AMERICAN MOULDING (N7840)
P1369,-3922382776774119657,"Oatsvall Construction, LLC (P1369)"
,-1245514753737495955,R & P Restoration & Paint
N5345,-6353046602292942385,R & P Restoration & Paint (N5345)
