name,doc_type,date,zip_code,county,full_address,source_id,geometry,doc_url
TUSCOLA ENERGY INC - RUMBLE SHARP CTB,ACO,2015-12-17,48767,TUSCOLA,"SE SW SW SEC 19 T14N R8E, AKRON, MI",N8277,"[-83.5141259, 43.5680758]",https://www.egle.state.mi.us/aps/downloads/srn/N8277/N8277_ACO_20151217.pdf
TUSCOLA ENERGY INC-BOYCE JR TRUSTEE 1&STREETER 1,ACO,2015-12-17,48701,TUSCOLA,"SW SW SW SEC 24 T14N R7E, AKRON, MI",N8274,"[-83.4647598, 43.5678261]",https://www.egle.state.mi.us/aps/downloads/srn/N8274/N8274_ACO_20151217.pdf
UNKNOWN,SAR,2019-07-16,49776,ALPENA,"ALPENA COUNTY, ALPENA, MI",U04060035,"[-83.4327528, 45.0616794]",https://www.egle.state.mi.us/aps/downloads/srn/U04060035/U04060035_SAR_20190716.pdf
UNKNOWN,SAR,2020-05-07,49776,ALPENA,"ALPENA COUNTY, ALPENA, MI",U04060035,"[-83.4327528, 45.0616794]",https://www.egle.state.mi.us/aps/downloads/srn/U04060035/U04060035_SAR_20200507.pdf
RIVERSIDE - FOREST HOME 12,FCE,2016-05-25,49611,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI",N7824,"[-85.2111728, 44.9802822]",https://www.egle.state.mi.us/aps/downloads/srn/N7824/N7824_FCE_20160525.pdf
RIVERSIDE - FOREST HOME 12,SAR,2016-05-17,49611,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI",N7824,"[-85.2111728, 44.9802822]",https://www.egle.state.mi.us/aps/downloads/srn/N7824/N7824_SAR_20160517.pdf
RIVERSIDE - FOREST HOME 12,SAR,2016-10-25,49611,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI",N7824,"[-85.2111728, 44.9802822]",https://www.egle.state.mi.us/aps/downloads/srn/N7824/N7824_SAR_20161025.pdf
UNKNOWN,SAR,2019-01-18,nan,CHARLEVOIX,"CHARLEVOIX COUNTY, CHARLEVOIX, MI",U15060046,"[-85.2584004, 45.3180632]",https://www.egle.state.mi.us/aps/downloads/srn/U15060046/U15060046_SAR_20190118.pdf
"MUSKEGON DEVELOPMENT, ROUND LAKE FACILITY",SAR,2019-05-28,nan,OTSEGO,"SE 1/4 SE 1/4 SW 1/4 SEC 27, CHARLTON TWP, MI",N7833,"[-84.4340843, 44.9953568]",https://www.egle.state.mi.us/aps/downloads/srn/N7833/N7833_SAR_20190528.pdf
"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",FCE,2017-03-29,48813,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI",P0195,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_FCE_20170329.pdf
"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",SAR,2019-10-03,48813,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI",P0195,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_SAR_20191003.pdf
"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",SAR,2020-10-07,48813,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI",P0195,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_SAR_20201007.pdf
RIVERSIDE - OTSEGO LAKE 12 (PART OF CHESTER 7),FCE,2016-01-14,49096,OTSEGO,"SW 1/4 SEC 31 T30N R2W, CHESTER TWP, MI",N7813,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/N7813/N7813_FCE_20160114.pdf
RIVERSIDE - OTSEGO LAKE 12 (PART OF CHESTER 7),SAR,2015-12-17,49096,OTSEGO,"SW 1/4 SEC 31 T30N R2W, CHESTER TWP, MI",N7813,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/N7813/N7813_SAR_20151217.pdf
ACME PLATING INC,SAR,2017-07-14,48228,WAYNE,"18636 FITZPATRICK, DETROIT, MI",N0317,"[-83.22270189999999, 42.3688207]",https://www.egle.state.mi.us/aps/downloads/srn/N0317/N0317_SAR_20170714.pdf
ACME PLATING INC,SAR,2018-08-08,48228,WAYNE,"18636 FITZPATRICK, DETROIT, MI",N0317,"[-83.22270189999999, 42.3688207]",https://www.egle.state.mi.us/aps/downloads/srn/N0317/N0317_SAR_20180808.pdf
SAV WELDING SERVICES,SAR,2017-09-27,48217,WAYNE,"11811 PLEASANT ST, DETROIT, MI",N8199,"[-83.1415304, 42.279777]",https://www.egle.state.mi.us/aps/downloads/srn/N8199/N8199_SAR_20170927.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",FCE,2016-11-03,48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_FCE_20161103.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",FCE,2020-10-07,48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_FCE_20201007.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",SAR,2016-11-03,48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20161103.pdf
