source_id,doc_type,date,doc_url
N8277,ACO,20151217,https://www.egle.state.mi.us/aps/downloads/srn/N8277/N8277_ACO_20151217.pdf
N8274,ACO,20151217,https://www.egle.state.mi.us/aps/downloads/srn/N8274/N8274_ACO_20151217.pdf
U04060035,SAR,20190716,https://www.egle.state.mi.us/aps/downloads/srn/U04060035/U04060035_SAR_20190716.pdf
U04060035,SAR,20200507,https://www.egle.state.mi.us/aps/downloads/srn/U04060035/U04060035_SAR_20200507.pdf
N7824,FCE,20160525,https://www.egle.state.mi.us/aps/downloads/srn/N7824/N7824_FCE_20160525.pdf
N7824,SAR,20160517,https://www.egle.state.mi.us/aps/downloads/srn/N7824/N7824_SAR_20160517.pdf
N7824,SAR,20161025,https://www.egle.state.mi.us/aps/downloads/srn/N7824/N7824_SAR_20161025.pdf
U15060046,SAR,20190118,https://www.egle.state.mi.us/aps/downloads/srn/U15060046/U15060046_SAR_20190118.pdf
N7833,SAR,20190528,https://www.egle.state.mi.us/aps/downloads/srn/N7833/N7833_SAR_20190528.pdf
P0195,FCE,20170329,https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_FCE_20170329.pdf
P0195,SAR,20191003,https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_SAR_20191003.pdf
P0195,SAR,20201007,https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_SAR_20201007.pdf
N7813,FCE,20160114,https://www.egle.state.mi.us/aps/downloads/srn/N7813/N7813_FCE_20160114.pdf
N7813,SAR,20151217,https://www.egle.state.mi.us/aps/downloads/srn/N7813/N7813_SAR_20151217.pdf
N0317,SAR,20170714,https://www.egle.state.mi.us/aps/downloads/srn/N0317/N0317_SAR_20170714.pdf
N0317,SAR,20180808,https://www.egle.state.mi.us/aps/downloads/srn/N0317/N0317_SAR_20180808.pdf
N8199,SAR,20170927,https://www.egle.state.mi.us/aps/downloads/srn/N8199/N8199_SAR_20170927.pdf
N7828,FCE,20161103,https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_FCE_20161103.pdf
N7828,FCE,20201007,https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_FCE_20201007.pdf
N7828,SAR,20161103,https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20161103.pdf
N7828,SAR,20191015,https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20191015.pdf
N7828,SAR,20201007,https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20201007.pdf
N7828,VN,20160531,https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_VN_20160531.pdf
N7832,FCE,20161105,https://www.egle.state.mi.us/aps/downloads/srn/N7832/N7832_FCE_20161105.pdf
N7832,SAR,20161103,https://www.egle.state.mi.us/aps/downloads/srn/N7832/N7832_SAR_20161103.pdf
N7832,SAR,20191015,https://www.egle.state.mi.us/aps/downloads/srn/N7832/N7832_SAR_20191015.pdf
N7476,SAR,20140225,https://www.egle.state.mi.us/aps/downloads/srn/N7476/N7476_SAR_20140225.pdf
N8165,SAR,20150521,https://www.egle.state.mi.us/aps/downloads/srn/N8165/N8165_SAR_20150521.pdf
U341414092,ASBVN,20160627,https://www.egle.state.mi.us/aps/downloads/srn/U341414092/U341414092_ASBVN_20160627.pdf
U36120455,ASBVN,20180621,https://www.egle.state.mi.us/aps/downloads/srn/U36120455/U36120455_ASBVN_20180621.pdf
U36120455,RASBVN,20180710,https://www.egle.state.mi.us/aps/downloads/srn/U36120455/U36120455_RASBVN_20180710.pdf
B8878,RVN,20200115,https://www.egle.state.mi.us/aps/downloads/srn/B8878/B8878_RVN_20200115.pdf
B8878,SAR,20191219,https://www.egle.state.mi.us/aps/downloads/srn/B8878/B8878_SAR_20191219.pdf
B8878,VN,20191219,https://www.egle.state.mi.us/aps/downloads/srn/B8878/B8878_VN_20191219.pdf
A2110,SAR,20160308,https://www.egle.state.mi.us/aps/downloads/srn/A2110/A2110_SAR_20160308.pdf
N8227,SAR,20161109,https://www.egle.state.mi.us/aps/downloads/srn/N8227/N8227_SAR_20161109.pdf
U56150576,ASBVN,20150623,https://www.egle.state.mi.us/aps/downloads/srn/U561505076/U56150576_ASBVN_20150623.pdf
U60060087,SAR,20171024,https://www.egle.state.mi.us/aps/downloads/srn/U60060087/U60060087_SAR_20171024.pdf
B5766,SAR,20191107,https://www.egle.state.mi.us/aps/downloads/srn/B5766/B5766_SAR_20191107.pdf
U69060095,SAR,20180620,https://www.egle.state.mi.us/aps/downloads/srn/U69060095/U69060095_SAR_20180620.pdf
U69060095,SAR,20181207,https://www.egle.state.mi.us/aps/downloads/srn/U69060095/U69060095_SAR_20181207.pdf
U69060095,SAR,20190424,https://www.egle.state.mi.us/aps/downloads/srn/U69060095/U69060095_SAR_20190424.pdf
U69060095,SAR,20191015,https://www.egle.state.mi.us/aps/downloads/srn/U69060095/U69060095_SAR_20191015.pdf
N7834,FCE,20170112,https://www.egle.state.mi.us/aps/downloads/srn/N7834/N7834_FCE_20170112.pdf
N7834,SAR,20170111,https://www.egle.state.mi.us/aps/downloads/srn/N7834/N7834_SAR_20170111.pdf
N7834,SAR,20200721,https://www.egle.state.mi.us/aps/downloads/srn/N7834/N7834_SAR_20200721.pdf
A2098,SAR,20180108,https://www.egle.state.mi.us/aps/downloads/srn/A2098/A2098_SAR_20180108.pdf
B4721,SAR,20140822,https://www.egle.state.mi.us/aps/downloads/srn/B4721/B4721_SAR_20140822.pdf
N4961,SAR,20210301,https://www.egle.state.mi.us/aps/downloads/srn/N4961/N4961_SAR_20210301.pdf
A8266,SAR,20170927,https://www.egle.state.mi.us/aps/downloads/srn/A8266/A8266_SAR_20170927.pdf
N8190,SAR,20181114,https://www.egle.state.mi.us/aps/downloads/srn/N8190/N8190_SAR_20181114.pdf
B7514,SAR,20210603,https://www.egle.state.mi.us/aps/downloads/srn/B7514/B7514_SAR_20210603.pdf
U632100200,ASBVN,20210122,https://www.egle.state.mi.us/aps/downloads/srn/U632100200/U632100200_ASBVN_20210122.pdf
M4092,SAR,20170119,https://www.egle.state.mi.us/aps/downloads/srn/M4092/M4092_SAR_20170119.pdf
N2689,FCE,20160726,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_FCE_20160726.pdf
N2689,FCE,20180711,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_FCE_20180711.pdf
N2689,FCE,20200617,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_FCE_20200617.pdf
N2689,SAR,20160726,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_SAR_20160726.pdf
N2689,SAR,20180711,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_SAR_20180711.pdf
N2689,SAR,20200617,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_SAR_20200617.pdf
N2689,TEST,20200916,https://www.egle.state.mi.us/aps/downloads/srn/N2689/N2689_TEST_20200916.pdf
N8048,SAR,20150408,https://www.egle.state.mi.us/aps/downloads/srn/N8048/N8048_SAR_20150408.pdf
N8096,SAR,20160830,https://www.egle.state.mi.us/aps/downloads/srn/N8096/N8096_SAR_20160830.pdf
A6260,SAR,20140827,https://www.egle.state.mi.us/aps/downloads/srn/A6260/A6260_SAR_20140827.pdf
N8094,SAR,20180718,https://www.egle.state.mi.us/aps/downloads/srn/N8094/N8094_SAR_20180718.pdf
N6769,SAR,20150416,https://www.egle.state.mi.us/aps/downloads/srn/N6769/N6769_SAR_20150416.pdf
N6769,SAR,20200729,https://www.egle.state.mi.us/aps/downloads/srn/N6769/N6769_SAR_20200729.pdf
U741802378,ASBVN,20180502,https://www.egle.state.mi.us/aps/downloads/srn/U741802378/U741802378_ASBVN_20180502.pdf
P1030,RVN,20190909,https://www.egle.state.mi.us/aps/downloads/srn/P1030/P1030_RVN_20190909.pdf
P1030,SAR,20190603,https://www.egle.state.mi.us/aps/downloads/srn/P1030/P1030_SAR_20190603.pdf
P1030,VN,20190821,https://www.egle.state.mi.us/aps/downloads/srn/P1030/P1030_VN_20190821.pdf
P1001,SAR,20200818,https://www.egle.state.mi.us/aps/downloads/srn/P1001/P1001_SAR_20200818.pdf
P1029,SAR,20210818,https://www.egle.state.mi.us/aps/downloads/srn/P1029/P1029_SAR_20210818.pdf
P0998,SAR,20190805,https://www.egle.state.mi.us/aps/downloads/srn/P0998/P0998_SAR_20190805.pdf
P1091,SAR,20210611,https://www.egle.state.mi.us/aps/downloads/srn/P1091/P1091_SAR_20210611.pdf
P1112,RVN,20210817,https://www.egle.state.mi.us/aps/downloads/srn/P1112/P1112_RVN_20210817.pdf
P1112,SAR,20210729,https://www.egle.state.mi.us/aps/downloads/srn/P1112/P1112_SAR_20210729.pdf
P1112,VN,20210810,https://www.egle.state.mi.us/aps/downloads/srn/P1112/P1112_VN_20210810.pdf
P1000,RVN,20210721,https://www.egle.state.mi.us/aps/downloads/srn/P1000/P1000_RVN_20210721.pdf
P1000,SAR,20210414,https://www.egle.state.mi.us/aps/downloads/srn/P1000/P1000_SAR_20210414.pdf
P1000,TEST,20210414,https://www.egle.state.mi.us/aps/downloads/srn/P1000/P1000_TEST_20210414.pdf
P1000,VN,20210429,https://www.egle.state.mi.us/aps/downloads/srn/P1000/P1000_VN_20210429.pdf
P1000,VN,20210720,https://www.egle.state.mi.us/aps/downloads/srn/P1000/P1000_VN_20210720.pdf
P1019,FCE,20200901,https://www.egle.state.mi.us/aps/downloads/srn/P1019/P1019_FCE_20200901.pdf
P1019,SAR,20200827,https://www.egle.state.mi.us/aps/downloads/srn/P1019/P1019_SAR_20200827.pdf
N8067,SAR,20190828,https://www.egle.state.mi.us/aps/downloads/srn/N8067/N8067_SAR_20190828.pdf
U442102125,VN,20210507,https://www.egle.state.mi.us/aps/downloads/srn/U442102125/U442102125_VN_20210507.pdf
U441700575,ASBVN,20171122,https://www.egle.state.mi.us/aps/downloads/srn/U441700575/U441700575_ASBVN_20171122.pdf
U441700575,ASBVN,20180228,https://www.egle.state.mi.us/aps/downloads/srn/U441700575/U441700575_ASBVN_20180228.pdf
U441700575,VN,20171219,https://www.egle.state.mi.us/aps/downloads/srn/U441700575/U441700575_VN_20171219.pdf
K2576,SAR,20170606,https://www.egle.state.mi.us/aps/downloads/srn/K2576/K2576_SAR_20170606.pdf
B8809,RVN,20150121,https://www.egle.state.mi.us/aps/downloads/srn/B8809/B8809_RVN_20150121.pdf
B8809,SAR,20141209,https://www.egle.state.mi.us/aps/downloads/srn/B8809/B8809_SAR_20141209.pdf
B8809,SAR,20170626,https://www.egle.state.mi.us/aps/downloads/srn/B8809/B8809_SAR_20170626.pdf
B8809,VN,20141223,https://www.egle.state.mi.us/aps/downloads/srn/B8809/B8809_VN_20141223.pdf
N5696,SAR,20211105,https://www.egle.state.mi.us/aps/downloads/srn/N5696/N5696_SAR_20211105.pdf
B6636,FCE,20200928,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_FCE_20200928.pdf
B6636,RVN,20191003,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_RVN_20191003.pdf
B6636,RVN,20200831,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_RVN_20200831.pdf
B6636,SAR,20200130,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_SAR_20200130.pdf
B6636,TEST,20130924,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20130924.pdf
B6636,TEST,20140325,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20140325.pdf
B6636,TEST,20140709,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20140709.pdf
B6636,TEST,20140923,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20140923.pdf
B6636,TEST,20141209,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20141209.pdf
B6636,TEST,20150723,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20150723.pdf
B6636,TEST,20150811,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20150811.pdf
B6636,TEST,20160712,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20160712.pdf
B6636,TEST,20170426,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20170426.pdf
B6636,TEST,20170717,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20170717.pdf
B6636,TEST,20180717,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20180717.pdf
B6636,TEST,20190611,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20190611.pdf
B6636,TEST,20191210,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20191210.pdf
B6636,TEST,20200114,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20200114.pdf
B6636,TEST,20200616,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20200616.pdf
B6636,TEST,20200721,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20200721.pdf
B6636,TEST,20210615,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20210615.pdf
B6636,TEST,20210713,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_TEST_20210713.pdf
B6636,VN,20190919,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_VN_20190919.pdf
B6636,VN,20200810,https://www.egle.state.mi.us/aps/downloads/srn/B6636/B6636_VN_20200810.pdf
N7047,FCE,20171219,https://www.egle.state.mi.us/aps/downloads/srn/N7047/N7047_FCE_20171219.pdf
N7047,FCE,20211124,https://www.egle.state.mi.us/aps/downloads/srn/N7047/N7047_FCE_20211124.pdf
N7047,SAR,20171130,https://www.egle.state.mi.us/aps/downloads/srn/N7047/N7047_SAR_20171130.pdf
N7047,SAR,20211119,https://www.egle.state.mi.us/aps/downloads/srn/N7047/N7047_SAR_20211119.pdf
E9903,SAR,20141209,https://www.egle.state.mi.us/aps/downloads/srn/E9903/E9903_SAR_20141209.pdf
B6145,FCE,20150928,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_FCE_20150928.pdf
B6145,FCE,20190919,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_FCE_20190919.pdf
B6145,FCE,20210929,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_FCE_20210929.pdf
B6145,SAR,20150807,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_SAR_20150807.pdf
B6145,SAR,20190827,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_SAR_20190827.pdf
B6145,SAR,20210826,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_SAR_20210826.pdf
B6145,TEST,20160602,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_TEST_20160602.pdf
B6145,TEST,20171016,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_TEST_20171016.pdf
B6145,TEST,20171020,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_TEST_20171020.pdf
B6145,TEST,20180111,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_TEST_20180111.pdf
B6145,TEST,20190709,https://www.egle.state.mi.us/aps/downloads/srn/B6145/B6145_TEST_20190709.pdf
N7711,SAR,20160414,https://www.egle.state.mi.us/aps/downloads/srn/N7711/N7711_SAR_20160414.pdf
U631803621,ASBVN,20180720,https://www.egle.state.mi.us/aps/downloads/srn/U631803621/U631803621_ASBVN_20180720.pdf
EN6300255,DCVN,20161031,https://www.egle.state.mi.us/aps/downloads/srn/EN6300255/EN6300255_DCVN_20161031.pdf
EN6300255,DCVN,20180314,https://www.egle.state.mi.us/aps/downloads/srn/EN6300255/EN6300255_DCVN_20180314.pdf
EN6300049,DCVN,20170628,https://www.egle.state.mi.us/aps/downloads/srn/EN6300049/EN6300049_DCVN_20170628.pdf
EN6300049,DCVN,20170726,https://www.egle.state.mi.us/aps/downloads/srn/EN6300049/EN6300049_DCVN_20170726.pdf
EN6300049,DCVN,20171005,https://www.egle.state.mi.us/aps/downloads/srn/EN6300049/EN6300049_DCVN_20171005.pdf
EN6300049,DCVN,20210805,https://www.egle.state.mi.us/aps/downloads/srn/EN6300049/EN6300049_DCVN_20210805.pdf
U631509193,SAR,20150515,https://www.egle.state.mi.us/aps/downloads/srn/U631509193/U631509193_SAR_20150515.pdf
N6621,SAR,20171127,https://www.egle.state.mi.us/aps/downloads/srn/N6621/N6621_SAR_20171127.pdf
