date,sources_updated,docs_found,SAR,FCE,TEST,VN,RVN,ACO,ENFN,STIP,CJ,ASBVN,AFO,RASBVN,CD,extras_found,mistakes_found,mistakes
2022-11-01,9,11,2.0,1.0,,1.0,7.0,,,,,,,,,0,0,
2022-10-31,23,1,1.0,,,,,,,,,,,,,0,0,
2022-10-30,0,0,,,,,,,,,,,,,,0,0,
2022-10-29,0,0,,,,,,,,,,,,,,0,0,
2022-10-28,4,5,2.0,1.0,,1.0,1.0,,,,,,,,,0,0,
2022-10-27,0,0,,,,,,,,,,,,,,0,0,
2022-10-26,18,7,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,0,0,
2022-10-25,39,16,,,12.0,,4.0,,,,,,,,,0,0,
2022-10-24,39,14,7.0,,,4.0,3.0,,,,,,,,,0,0,
2022-10-23,0,0,,,,,,,,,,,,,,0,0,
2022-10-22,0,0,,,,,,,,,,,,,,0,0,
2022-10-21,0,0,,,,,,,,,,,,,,0,0,
2022-10-20,5,6,,,4.0,1.0,1.0,,,,,,,,,0,0,
2022-10-19,11,16,6.0,,1.0,4.0,5.0,,,,,,,,,0,0,
2022-10-18,0,0,,,,,,,,,,,,,,0,0,
2022-10-17,44,13,6.0,3.0,,3.0,1.0,,,,,,,,,0,0,
2022-10-16,0,0,,,,,,,,,,,,,,0,0,
2022-10-15,0,0,,,,,,,,,,,,,,0,0,
2022-10-14,6,8,4.0,2.0,,1.0,1.0,,,,,,,,,0,0,
2022-10-13,9,11,2.0,1.0,4.0,1.0,3.0,,,,,,,,,0,0,
2022-10-12,22,7,1.0,1.0,3.0,,2.0,,,,,,,,,0,0,
2022-10-11,39,20,8.0,2.0,7.0,1.0,1.0,,1.0,,,,,,,1,0,
2022-10-10,37,18,10.0,5.0,,1.0,2.0,,,,,,,,,1,0,
2022-10-09,0,0,,,,,,,,,,,,,,0,0,
2022-10-08,0,0,,,,,,,,,,,,,,0,0,
2022-10-07,3,4,1.0,3.0,,,,,,,,,,,,0,0,
2022-10-06,38,24,4.0,4.0,6.0,5.0,4.0,,1.0,,,,,,,0,0,
2022-10-05,26,12,6.0,3.0,,1.0,2.0,,,,,,,,,0,0,
2022-10-04,41,20,8.0,4.0,4.0,4.0,,,,,,,,,,0,0,
2022-10-03,31,25,11.0,8.0,,4.0,2.0,,,,,,,,,0,0,
2022-10-02,0,0,,,,,,,,,,,,,,0,0,
2022-10-01,0,0,,,,,,,,,,,,,,0,0,
2022-09-30,7,0,,,,,,,,,,,,,,0,0,
